#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D122
#Date Time: 2023-04-17 17:06:59.622

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.01084220981790687,0.01227370986707937,0.00575242906655197,0.001142313192305685,0.001895989579822783,0.001513240581494426
0.1,0.01047234378441878,0.01190961414574352,0.005671765577087266,0.001091892413068705,0.001896271766412135,0.001550360464658261
0.2,0.01099304651532459,0.01244932302396026,0.005842822268973005,0.001369656884401004,0.001969001464477929,0.001414569470238083
0.3,0.01116872159105956,0.0125675619162946,0.00576222791472947,0.001270165882513707,0.001927628450177257,0.001449975886982696
0.4,0.01123014012653513,0.01264098269084193,0.005803309067122242,0.001080637774846183,0.00187127199141239,0.001527704443084624
0.5,0.01154897458275311,0.01291148841844671,0.00577301647898219,0.001261612357464589,0.00193814383617125,0.001471304111725834
0.6,0.0113678802244763,0.01270025697114462,0.005662846133796948,0.001099095381531144,0.001854624061905814,0.001493860687379347
0.7,0.01093343440736326,0.01231371555541916,0.00566459202764426,0.0009644899083895653,0.001840739434975682,0.001567826802963367
0.8,0.01058253586277171,0.01201926441538594,0.005698478024885393,0.0008271833220744514,0.001837977528096914,0.001641319330743388
0.9,0.01074150148400249,0.01213430365952733,0.005644596634905062,0.001063080539219004,0.001884136715866328,0.001555580576894174
1,0.01072208238822689,0.01214117458502569,0.005696057370158375,0.0007844156968287722,0.001823659402835594,0.001646337034789759
1.1,0.01157471617482744,0.01292227159391437,0.005745524224913252,0.0006961793331640449,0.001819844493190983,0.001681418542622065
1.2,0.01167271486746133,0.0130147578784906,0.00575600992517133,0.001185080817551259,0.001949345298500438,0.001547750157053076
1.3,0.01107388414657536,0.01252051283015588,0.0058422882022638,0.001060829611574504,0.001878247352860427,0.00154998504951964
1.4,0.01075143683532922,0.01215028685397802,0.005660042103188549,0.000520156791363319,0.001822180857289054,0.001746361929575142
1.5,0.01081782304646806,0.01223134798328454,0.005707939910641197,0.000889759110591832,0.001854982581220998,0.001627663694303216
1.6,0.01103594916878178,0.012419396888066,0.00569642387883467,0.0009257739529040322,0.001848500075014836,0.001599967223243993
1.7,0.01103007827936167,0.01239137705994477,0.005646556348153978,0.0009226226542016843,0.001839909553293945,0.001591865133187214
1.8,0.01107343253969681,0.01243397969545897,0.005655346395744298,0.0009500839714647385,0.001856091553410207,0.00159449562614874
1.9,0.0107315661326755,0.01217771351856442,0.005755883501273636,0.0009874493703635207,0.00186908203853852,0.001586950348233034
2,0.01096053082007283,0.012372200790309,0.005739173855002457,0.0008154784983230261,0.001816808524513612,0.001623511020448997
2.1,0.01096053082007301,0.01228615082099782,0.00555124005412534,0.001073434806383718,0.001903856639546941,0.001572389207668357
2.2,0.01092169262852251,0.0123062375989751,0.005670988800068297,0.001275568108860562,0.001936406949149689,0.001456913817757725
2.3,0.01143923411127852,0.01282306610952161,0.005794389303154414,0.0009964530809415991,0.001849160763788098,0.001557715246062755
2.4,0.01124955922231039,0.01261863741777869,0.00571641737324016,0.0012769186654472,0.001993693648461574,0.001531108450028454
2.5,0.01045337629552193,0.01188773062381432,0.005660835928428483,0.001116652617158302,0.001891366147922956,0.001526549323835668
2.6,0.01020679893986309,0.01165825052149173,0.005633476779313391,0.0004845921345800678,0.001846765758358067,0.001782053374438556
2.7,0.01034905510658934,0.01185914182317974,0.00579105371957982,0.0003121710770106311,0.001850393787939284,0.001823871264405056
2.8,0.01071124382314314,0.01215786510800638,0.005751777094572319,0.0009532352701670221,0.001869054225848715,0.001607702154901158
2.9,0.01080562966074878,0.01222146380378028,0.005709863846174585,0.001101796494704532,0.001855168022861007,0.001492545770589167
3,0.01010834864035093,0.01156528382249496,0.005619348508499065,0.001152217273941519,0.001879774498210008,0.001485243252047335
