#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D122
#Date Time: 2023-04-17 17:32:17.240

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.0102388630282361,0.01234749881536021,0.006901189092057231,0.001303479611652425,0.001938075214371702,0.001434251176945203
0.1,0.01034002296901916,0.01234161536056052,0.006737907294417685,0.001461944917825862,0.002048833519271545,0.001435421835884411
0.2,0.0103422810034116,0.01248779050187548,0.006998723831184387,0.001395767645077303,0.00200344656266558,0.001437230256574073
0.3,0.01019054109223689,0.0123042464933942,0.006895458941768747,0.001149516160768129,0.001912514847376097,0.001528504379309234
0.4,0.01025873373088994,0.01236052483148994,0.006894995021649254,0.0009653902794473625,0.001836105937728624,0.00156182797481394
0.5,0.01078982342000136,0.01277905347357242,0.00684718323441101,0.001113501318455964,0.001872360698929078,0.001505273862355821
0.6,0.01097317581267067,0.01292532749543903,0.006830336993776887,0.001110350019753678,0.001882492933889578,0.001520165280414529
0.7,0.0109311763729704,0.01292599847118428,0.006898609974484366,0.001267914954869204,0.001937359628402822,0.001464839239297052
0.8,0.01069453436863864,0.01271594831359696,0.006879118849973361,0.001517767923409671,0.002044691089307544,0.001370088384507546
0.9,0.01043034434471832,0.01249190102282728,0.006874264179873945,0.001323737960453076,0.001961117428567948,0.001446962121373307
1,0.01019189591287252,0.0122617675767216,0.006817345656977036,0.001008157904693028,0.001854808688866731,0.001556898491071607
1.1,0.009947124984727647,0.0120398267153779,0.006783224297818735,0.0005939872181032355,0.001840564154190514,0.001742083692140494
1.2,0.009901061083120995,0.01207766221816397,0.006916568085717224,0.0004872932477534822,0.001814669083201795,0.001748018641840721
1.3,0.01039557061507421,0.0125156776611345,0.006969526447644001,0.0009658404649762716,0.001836046820986191,0.001561480107164043
1.4,0.01067466366598471,0.01264026340630361,0.006769624406037961,0.001212542134814364,0.001914984855759021,0.00148219720991741
1.5,0.01085575802426169,0.01284441871913292,0.006865246532432584,0.001037870149600529,0.001838341825485242,0.001517341826978128
1.6,0.01055318141566928,0.01259125216577537,0.006868041431885563,0.001053626643112082,0.001860525750316505,0.001533436325549833
1.7,0.01052653660983799,0.01257746651759188,0.006883653899120252,0.000964039722860652,0.001849795587672516,0.001578724525976723
1.8,0.01039918347010208,0.01247554905069355,0.006891756472148417,0.001267914954869211,0.001927048617492042,0.001451174710845424
1.9,0.01036395813357946,0.01243069951222719,0.006863720723389596,0.001163922097692931,0.001914170390521036,0.001519649181373878
2,0.01065930903211588,0.01270736677566366,0.006917824898700135,0.0008339361050080087,0.001828031768095851,0.001626730069167225
2.1,0.0113588480869064,0.01324091478083432,0.006804292349090108,0.001042372004889529,0.001852149494782502,0.00153098607258403
2.2,0.01098220795024049,0.01296555445587895,0.006891785754506697,0.001075235548499366,0.001857723325354835,0.001514927215681099
2.3,0.01108246467726654,0.01306824399332794,0.006925169871293488,0.001158069685817241,0.00189661276381993,0.001502003521525858
2.4,0.01015305772132176,0.01226637661776213,0.006883270606061712,0.00104597348912078,0.001857946323079603,0.001535546807981573
2.5,0.01054731052624889,0.01261232598557975,0.006915562697958252,0.001129257811967565,0.00187830270557646,0.001500932326218195
2.6,0.01047640824632489,0.01259365816250301,0.00698892668228032,0.001031117366667001,0.001835612967857062,0.001518641479719068
2.7,0.01092846673169936,0.01291249630078992,0.00687758501307232,0.001018061986328845,0.00188901012137538,0.001591197357542925
2.8,0.01104272327195887,0.01299328442453176,0.006847167507495288,0.0006101938971437287,0.001823933490944961,0.001718835881426821
2.9,0.01051524643787554,0.01252357045021832,0.006802162095415615,0.0005485184796841417,0.001829347597533657,0.001745176240397503
3,0.01069905043742356,0.01264286217026862,0.006735895159061084,0.0004184148618314794,0.001825617426400093,0.001777022225796478
3.1,0.01057350372520164,0.012607635869875,0.006866840700095726,0.0004328207987563481,0.001824623999949689,0.001772545880183814
3.2,0.01009209079272482,0.01216919607360531,0.006799929154721675,0.0001978239526695658,0.001843747550319781,0.00183310411953633
3.3,0.01010789703347217,0.01223781503971375,0.006898879221073016,0.0005480682941552616,0.001838459866654771,0.001754866327172233
3.4,0.0109000154983542,0.01284584707483226,0.006797459025665536,0.0004296695000540398,0.001831397230326245,0.001780280858732849
3.5,0.01056176194636065,0.01264982589021784,0.006961844557386809,0.0006394559565223553,0.001820061210046903,0.001704030189869309
3.6,0.01002028529904389,0.0121547323667061,0.006879782077362367,0.0007308436188895014,0.001831635147402213,0.001679510320875739
3.7,0.009726740828021517,0.01188923158727453,0.006836983296771282,0.0006525113368605093,0.001821979502617232,0.001701128526369058
3.8,0.009928609102709275,0.01198898356470914,0.006720003586341956,0.0002000748803140748,0.001840749334338953,0.001829843751290663
3.9,0.01028221728857163,0.01237230510295679,0.006881129354345491,0.0006187474221928862,0.001820067927860471,0.001711665530866528
4,0.01001351119586658,0.01212768964168436,0.00684181624828218,0.0007249912070137356,0.001813278523872244,0.001662036929460304
4.1,0.01016976717582614,0.01220953940301926,0.006756381281673918,0.001204438795294095,0.001918602624162161,0.001493440061680801
4.2,0.009634613024808423,0.01182203329632492,0.006850890680896653,0.0008667996486178483,0.001835488855948162,0.001617923888650693
4.3,0.009728095648657136,0.01189185963069858,0.006839625759265176,0.0004791899082332336,0.001844772968647603,0.00178145006601398
4.4,0.009758353309516242,0.01192030564021703,0.006846037338696208,0.0008974122645831944,0.00185129911972284,0.001619246632870732
4.5,0.009682031747050472,0.01186711804867852,0.006861978725583746,0.0008834565131872098,0.00183329953065056,0.001606390910828105
4.6,0.009816158989963736,0.01196996131064364,0.006850036238009379,0.0009104676449213447,0.001860338383391024,0.001622315495910215
4.7,0.01019008948535848,0.01227525801662964,0.00684427027923382,0.0008622977933288235,0.001832459607249877,0.001616895397922593
4.8,0.01018421859593798,0.01223161960346011,0.006774526530605966,0.0006475592960425716,0.001841664375783996,0.001724063406937722
4.9,0.01050982715533363,0.01251772392479845,0.00679977539500147,0.0006119946392593261,0.001819137860378029,0.00171310394214093
5,0.01020002483668544,0.01231455170255401,0.006899831662139847,0.0008433900011149569,0.001830416163192992,0.001624535821857549
5.1,0.01023570178008656,0.01230145584528847,0.006823212218794041,0.001063530724747884,0.001856560985559052,0.00152174935210036
5.2,0.01004693010487514,0.01219683605840973,0.00691534563875556,0.0009887999269502469,0.001850158368189962,0.001563764909392435
5.3,0.0100388011810623,0.01215344223124501,0.006850447351472408,0.0007200391661958407,0.001823066622732859,0.001674847906547645
5.4,0.01063492226067696,0.01260324777743515,0.006763156293385628,0.0004904445464557891,0.00182519868429545,0.001758071211301328
5.5,0.01060647102733188,0.01265262772934101,0.006898678192497914,0.0004670348989528823,0.001829196323610834,0.001768569363489089
5.6,0.01077898485491732,0.01278602946914215,0.00687721128679494,0.000316222746770754,0.001836353984007707,0.001808922090363824
5.7,0.01024157266950709,0.01239926934668077,0.00698942555484545,0.0001528053997793825,0.001856792279869661,0.001850494009820678
5.8,0.01052427857544551,0.01257040127335931,0.006874194399322004,0.0001663109656464318,0.001855932513756337,0.001848465893200102
5.9,0.01094246654493273,0.01296070368870886,0.006945665268318317,0.0001176909285250237,0.001863129423435038,0.00185940853332798
6,0.01021808911182517,0.01232572338211938,0.006893048077252086,0.0002968647690279733,0.001839796493191338,0.001815687871102695
6.1,0.01037705473305591,0.01231806868160285,0.006637134254467714,0.0002446432476753571,0.001843928303835437,0.001827627224313625
6.2,0.01043215077223242,0.01248814726690712,0.006864696091259526,-2.456769860795831e-05,0.001873490289744258,0.001873329200635041
6.3,0.01044118290980216,0.01253524371555405,0.006936428075917458,0.0003805992774037297,0.001830604869193939,0.001790602797148848
6.4,0.01006996205567846,0.01223020852917724,0.006940739504140436,0.0001172407429961174,0.001849773199528598,0.001846054034386957
6.5,0.01099575615659536,0.01298963354957612,0.006915484530887734,0.0003108205204239316,0.001842477669031671,0.001816071189398905
6.6,0.01104272327195902,0.01301923279108877,0.006896280534279455,0.0003891528024528632,0.001834009825530831,0.00179224778880794
6.7,0.01077085593110431,0.01278796047942409,0.006893518385750991,0.0002680528951782603,0.00183634981725492,0.001816680570909216
6.8,0.01080427484011321,0.01276198089389869,0.006792334025614425,-0.0001402653795357204,0.001890957001581331,0.001885747598469657
6.9,0.01056040712572525,0.01261057735522275,0.006892348117367149,0.0001226429693429551,0.001866940220565988,0.001862907536416752
