General : End date,17/04/2023,,,
General : Excluded,FALSE,,,
General : Specimen number (included),10,,,
General : Start date,17/04/2023,,,
General : System ID,5544H1816,,,
General : Unique identifier,{8650C6E3-BA5D-47C9-9392-379ED1594FFC},,,
Strain : Compressive strain (Extension) gauge length,100,mm,,
Strain : Time at removal,,s,,
Specimen text inputs : Specimen text input  1,fsr_no_pluck_10_repeat,,,
,,,,
Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
14.4,1.3525,23.98432,0,0
14.5,1.35917,24.26003,0,0
14.6,1.36563,24.52978,0,0
14.7,1.37,24.7214,0,0
14.8,1.37333,24.85268,0,0
14.9,1.37583,24.94555,0,0
15,1.37813,25.02203,0,0
15.1,1.38083,25.1127,0,0
15.2,1.38417,25.24234,0,0
15.3,1.38854,25.40465,0,0
15.4,1.39396,25.62908,0,0
15.5,1.39958,25.87135,0,0
15.6,1.40479,26.09916,0,0
15.7,1.40833,26.25314,0,0
15.8,1.41125,26.373,0,0
15.9,1.41354,26.46532,0,0
16,1.41604,26.56003,0,0
16.1,1.41875,26.65633,0,0
16.2,1.4225,26.79532,0,0
16.3,1.4275,27.00411,0,0
16.4,1.43438,27.29503,0,0
16.5,1.44167,27.62994,0,0
16.6,1.44708,27.89769,0,0
16.7,1.45083,28.06343,0,0
16.8,1.45354,28.17294,0,0
16.9,1.45583,28.25837,0,0
17,1.45792,28.33663,0,0
17.1,1.46042,28.43027,0,0
17.2,1.46354,28.55068,0,0
17.3,1.46771,28.71579,0,0
17.4,1.47313,28.95946,0,0
17.5,1.47979,29.26293,0,0
17.6,1.48521,29.53484,0,0
17.7,1.48917,29.71479,0,0
17.8,1.49208,29.84324,0,0
17.9,1.49458,29.94419,0,0
18,1.49667,30.02967,0,0
18.1,1.49896,30.11761,0,0
18.2,1.50229,30.24529,0,0
18.3,1.50646,30.42284,0,0
18.4,1.51208,30.68453,0,0
18.5,1.51917,31.01093,0,0
18.6,1.525,31.32647,0,0
18.7,1.52938,31.52735,0,0
18.8,1.53229,31.65967,0,0
18.9,1.53458,31.75985,0,0
19,1.53646,31.82878,0,0
19.1,1.53854,31.90911,0,0
19.2,1.54104,32.01257,0,0
19.3,1.54417,32.14737,0,0
19.4,1.54854,32.34492,0,0
19.5,1.55396,32.58997,0,0
19.6,1.56021,32.9088,0,0
19.7,1.56521,33.18162,0,0
19.8,1.56854,33.33961,0,0
19.9,1.57062,33.43813,0,0
20,1.57229,33.50451,0,0
20.1,1.57375,33.56048,0,0
20.2,1.57521,33.61094,0,0
20.3,1.57646,33.65765,0,0
20.4,1.57812,33.72425,0,0
20.5,1.58063,33.83068,0,0
20.6,1.58438,34.00366,0,0
20.7,1.58917,34.24226,0,0
20.8,1.59625,34.58829,0,0
20.9,1.60375,34.99707,0,0
21,1.60833,35.25074,0,0
21.1,1.61104,35.38446,0,0
21.2,1.61292,35.46704,0,0
21.3,1.61437,35.52813,0,0
21.4,1.61583,35.58134,0,0
21.5,1.61729,35.63995,0,0
21.6,1.61938,35.72518,0,0
21.7,1.6225,35.86536,0,0
21.8,1.62667,36.06464,0,0
21.9,1.6325,36.3498,0,0
22,1.64021,36.7571,0,0
22.1,1.64646,37.12037,0,0
22.2,1.65,37.32753,0,0
22.3,1.6525,37.43946,0,0
22.4,1.65396,37.50526,0,0
22.5,1.65542,37.55259,0,0
22.6,1.65667,37.60249,0,0
22.7,1.65854,37.67772,0,0
22.8,1.66125,37.80783,0,0
22.9,1.665,37.98428,0,0
23,1.66917,38.19857,0,0
23.1,1.67604,38.5331,0,0
23.2,1.68333,38.95545,0,0
23.3,1.68813,39.24059,0,0
23.4,1.69104,39.39056,0,0
23.5,1.69292,39.47758,0,0
23.6,1.69417,39.53113,0,0
23.7,1.69542,39.57309,0,0
23.8,1.69688,39.62477,0,0
23.9,1.69833,39.69152,0,0
24,1.70063,39.79815,0,0
24.1,1.70354,39.94026,0,0
24.2,1.70792,40.15394,0,0
24.3,1.71354,40.4488,0,0
24.4,1.72104,40.86322,0,0
24.5,1.72625,41.19107,0,0
24.6,1.72958,41.38139,0,0
24.7,1.73188,41.4909,0,0
24.8,1.73333,41.55539,0,0
24.9,1.73458,41.60043,0,0
25,1.73563,41.64745,0,0
25.1,1.73729,41.71519,0,0
25.2,1.73979,41.83355,0,0
25.3,1.74333,42.00493,0,0
25.4,1.74813,42.26035,0,0
25.5,1.75458,42.60288,0,0
25.6,1.76167,43.02587,0,0
25.7,1.76646,43.31387,0,0
25.8,1.76917,43.47329,0,0
25.9,1.77104,43.55572,0,0
26,1.77229,43.60151,0,0
26.1,1.77313,43.62338,0,0
26.2,1.77396,43.65565,0,0
26.3,1.77521,43.6985,0,0
26.4,1.77667,43.75829,0,0
26.5,1.77854,43.85152,0,0
26.6,1.78125,43.9902,0,0
26.7,1.78479,44.17477,0,0
26.8,1.78979,44.43984,0,0
26.9,1.79667,44.82349,0,0
27,1.80354,45.26248,0,0
27.1,1.80854,45.55997,0,0
27.2,1.81146,45.72834,0,0
27.3,1.81333,45.82524,0,0
27.4,1.815,45.89608,0,0
27.5,1.81646,45.96163,0,0
27.6,1.81833,46.04094,0,0
27.7,1.82021,46.13754,0,0
27.8,1.8225,46.24357,0,0
27.9,1.82542,46.40317,0,0
28,1.82917,46.6014,0,0
28.1,1.83438,46.90079,0,0
28.2,1.83979,47.2298,0,0
28.3,1.84375,47.47214,0,0
28.4,1.84667,47.6394,0,0
28.5,1.84875,47.74838,0,0
28.6,1.85042,47.82576,0,0
28.7,1.85167,47.88717,0,0
28.8,1.85292,47.92902,0,0
28.9,1.85417,47.98776,0,0
29,1.85604,48.07593,0,0
29.1,1.85854,48.20752,0,0
29.2,1.86125,48.36557,0,0
29.3,1.865,48.5682,0,0
29.4,1.87,48.85048,0,0
29.5,1.87667,49.24433,0,0
29.6,1.88292,49.66143,0,0
29.7,1.8875,49.9368,0,0
29.8,1.89042,50.11626,0,0
29.9,1.89271,50.24379,0,0
30,1.89438,50.32343,0,0
30.1,1.89583,50.38333,0,0
30.2,1.89729,50.45024,0,0
30.3,1.89896,50.53706,0,0
30.4,1.90063,50.6202,0,0
30.5,1.90292,50.73827,0,0
30.6,1.90583,50.89797,0,0
30.7,1.90917,51.08975,0,0
30.8,1.91396,51.37428,0,0
30.9,1.91917,51.69478,0,0
31,1.92313,51.95844,0,0
31.1,1.92604,52.12943,0,0
31.2,1.92813,52.25234,0,0
31.3,1.93,52.33913,0,0
31.4,1.93146,52.42183,0,0
31.5,1.93271,52.47992,0,0
31.6,1.93417,52.54515,0,0
31.7,1.93583,52.63361,0,0
31.8,1.93854,52.77842,0,0
31.9,1.94146,52.95337,0,0
32,1.94521,53.17648,0,0
32.1,1.95021,53.4782,0,0
32.2,1.95667,53.86914,0,0
32.3,1.9625,54.28468,0,0
32.4,1.96667,54.55548,0,0
32.5,1.96958,54.71712,0,0
32.6,1.97146,54.82501,0,0
32.7,1.97271,54.87479,0,0
32.8,1.97375,54.91011,0,0
32.9,1.97458,54.95008,0,0
33,1.97604,55.00571,0,0
33.1,1.97771,55.09135,0,0
33.2,1.97958,55.20471,0,0
33.3,1.98208,55.34148,0,0
33.4,1.985,55.52941,0,0
33.5,1.98813,55.71973,0,0
33.6,1.99229,55.97523,0,0
33.7,1.99729,56.27994,0,0
33.8,2.00125,56.56994,0,0
33.9,2.00458,56.75857,0,0
34,2.00708,56.91836,0,0
34.1,2.00896,57.02512,0,0
34.2,2.01063,57.10906,0,0
34.3,2.01188,57.16471,0,0
34.4,2.01313,57.23322,0,0
34.5,2.015,57.32322,0,0
34.6,2.01729,57.46159,0,0
34.7,2.02,57.62398,0,0
34.8,2.02333,57.83078,0,0
34.9,2.02688,58.06494,0,0
35,2.03146,58.34967,0,0
35.1,2.03646,58.67968,0,0
35.2,2.04063,58.9761,0,0
35.3,2.04333,59.14878,0,0
35.4,2.04563,59.28344,0,0
35.5,2.04708,59.36864,0,0
35.6,2.04854,59.43874,0,0
35.7,2.05,59.5108,0,0
35.8,2.05125,59.57204,0,0
35.9,2.05292,59.65055,0,0
36,2.05479,59.76523,0,0
36.1,2.05771,59.94467,0,0
36.2,2.06083,60.14342,0,0
36.3,2.06438,60.38501,0,0
36.4,2.06833,60.6297,0,0
36.5,2.0725,60.91997,0,0
36.6,2.07729,61.23446,0,0
36.7,2.08063,61.48359,0,0
36.8,2.08313,61.63326,0,0
36.9,2.08542,61.76504,0,0
37,2.08687,61.84886,0,0
37.1,2.08833,61.9269,0,0
37.2,2.09,62.012,0,0
37.3,2.09146,62.09439,0,0
37.4,2.09354,62.20198,0,0
37.5,2.09625,62.36852,0,0
37.6,2.09938,62.57533,0,0
