#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D122
#Date Time: 2023-04-18 14:08:50.763

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.01174497196802082,0.01262330413132352,0.004626385269548188,0.0009118182015080709,0.001829565732469844,0.001586158358054847
0.1,0.01160226419441629,0.01247912735076184,0.004595224151170707,0.001393516717432804,0.001982894639290589,0.001410667327459945
0.2,0.01181768067545886,0.01267148910770438,0.004572642524794794,0.00129492608660335,0.001921939187136511,0.001420217120473395
0.3,0.01172555287224546,0.01259400875777104,0.004595700863958243,0.001182379704377906,0.001872358255365169,0.001451793260457451
0.4,0.01171200466589093,0.01257741038456671,0.004584779022806379,0.0007312938044183494,0.001833387907696614,0.001681225919294688
0.5,0.01196038844906318,0.01281936782033987,0.004613599404009521,0.001036069407484906,0.001861016232502257,0.001545943595514278
0.6,0.01176303624316092,0.01266022730040253,0.004681061166012165,0.0006241496485396808,0.001816612436548777,0.001706024021182551
0.7,0.01179645515216959,0.0126659472843621,0.004611926544633816,0.0004562304462592452,0.001813306322065697,0.00175497395922284
0.8,0.01147987873034382,0.0123713475128512,0.004611141249228249,0.0008325855484213224,0.001830025244331878,0.001629660608670688
0.9,0.01115878623973348,0.01203513247834039,0.004508425825845834,0.0007731610586062639,0.001838740929210827,0.001668289597824867
1,0.01143471804249391,0.01233896737982692,0.004636522327035001,0.0009361282200687606,0.001833617220562426,0.001576647096573875
1.1,0.01140807323666297,0.01229368149336377,0.004581535734577918,0.0007713603164905934,0.001868532291788134,0.001701886067749412
1.2,0.01140626680914878,0.01229368991625606,0.004586053775912699,0.0009523348991092103,0.001844132309301744,0.001579203031326244
1.3,0.01106756165027692,0.01195820516407609,0.00452854831744807,0.0007974710771669352,0.001823754129424457,0.001640158225805041
1.4,0.01090588638777537,0.01183631735580769,0.004600005504815573,0.0006300020604154245,0.001839454140276717,0.001728203963094168
1.5,0.0109709177782785,0.01187461675831933,0.004543730434258539,0.00111395150398489,0.001904829615541964,0.001545149802128001
1.6,0.01121930156145177,0.01210440325323135,0.004543550438814442,0.001213892691401058,0.001920874596310872,0.001488698676198722
1.7,0.0119454854220731,0.01278560193515311,0.004558178898993962,0.001118903544802774,0.001894587676028885,0.001528894149242834
1.8,0.01167903736376031,0.01257726175009763,0.004667718863251656,0.001215243247987728,0.001904210736222837,0.001466015817161161
1.9,0.01183439012996293,0.01272355251593166,0.004672900478022747,0.001150866717354823,0.001893148400345599,0.001503168874284129
2,0.0120258714464453,0.01286970713117777,0.004583424221677475,0.001223346587507994,0.001915358434698989,0.001473777819145585
2.1,0.01172013358970381,0.01260835276806156,0.004648551189713793,0.001108549277638079,0.001861439249023496,0.001495350987846504
2.2,0.0119206470437558,0.01275814422230228,0.004546253188644859,0.0009019141198722081,0.001833588869926609,0.001596433232018916
