#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D122
#Date Time: 2023-04-17 12:49:06.928

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.009916415716990049,0.01166071703970633,0.006134901890651139,0.001160770798990671,0.001873367171127852,0.001470413448684012
0.1,0.009803513997365986,0.01149859677997932,0.006009063255782219,0.001460144175710258,0.002017198001403824,0.001391785458684882
0.2,0.01004467207048292,0.01175953405552754,0.006114834764698178,0.001354800761947269,0.001947941784406335,0.001399639986161933
0.3,0.009862222891570488,0.01159373599542495,0.006095184490118532,0.001587996865918334,0.00211713636932293,0.00140019011571397
0.4,0.009862222891570498,0.01157671878046426,0.006062753282043198,0.001676233229583087,0.002173007085306023,0.001382823905213838
0.5,0.009776417584656281,0.01146293270389426,0.005985021753044802,0.001676683415111981,0.002156852402183309,0.001356740583269903
0.6,0.01024744355892752,0.01192408510467615,0.006097024363584233,0.001796882951328776,0.002263185655680684,0.001375943665744325
0.7,0.01002705940222157,0.0117290696128082,0.006085158479974949,0.001678934342756493,0.002164285521655845,0.001365763995703909
0.8,0.01002118851280123,0.01173874496901256,0.006113420829487032,0.001793731652626422,0.002256174627339691,0.001368521358041787
0.9,0.01034273261029033,0.01202739038167219,0.006138892534095136,0.0020881529885283,0.00258103196139274,0.001517017825284072
1,0.01005054295990345,0.01176167190339603,0.006109297191515414,0.001849554658210237,0.002321381907065898,0.001402840520067967
1.1,0.009728547255535663,0.01149046756526448,0.006114426642392425,0.00180498629084898,0.002304493557087553,0.00143272992727311
1.2,0.00983151362383263,0.01156676418013087,0.006093551793751861,0.001670380817707345,0.002167537297629142,0.001381320332308165
1.3,0.009549710931651287,0.0112939671020456,0.006029652894153705,0.001637517274097508,0.002186429765470638,0.001448796844408352
1.4,0.009291391797151743,0.01110749131920663,0.006086575546073925,0.001261612357464625,0.001914875486713828,0.001440514626482595
1.5,0.00965177408619141,0.0114138953463083,0.006092640147390112,0.001527221819516616,0.002045200196412647,0.001360307817149798
1.6,0.01050440787279179,0.01218663405726926,0.006178305988522839,0.001582594639571523,0.002089338069354545,0.001364084958810575
1.7,0.009971511756166467,0.01167526660663299,0.006072956745488983,0.001544328869614883,0.00207782961941666,0.001390116638918722
1.8,0.009653128906826861,0.01144309030018201,0.006145031971136481,0.001443487311140835,0.002061500850263794,0.001471777883450287
1.9,0.009515840415764108,0.01127655857230017,0.006050582981516386,0.001685687125690009,0.002197038318002166,0.001409055103625065
2,0.009679322105779625,0.01131012506371671,0.005850611295366181,0.001703244361317138,0.002199644063461071,0.001391902529475412
2.1,0.01013860630121009,0.01180431317846803,0.006045698626660547,0.001858108183259365,0.002340440818810681,0.001423059101252835
2.2,0.01023163731818031,0.0118839153271952,0.006044918634121932,0.001777074788057066,0.002271881499981334,0.001415433060094458
2.3,0.00976241777142286,0.01149171620762291,0.006062568816329625,0.001561435919713148,0.002092571884707333,0.001393116994834494
2.4,0.009834223265103779,0.01156248886707241,0.006081052669830564,0.001812189259311427,0.002298689563473993,0.001414193691705569
2.5,0.009589452336958862,0.01133923797060838,0.006051505732565107,0.001621310595057063,0.002111767286246115,0.001353112347742883
2.6,0.009915512503233097,0.01158330822605731,0.005987958020733335,0.001637967459626394,0.002158870113477358,0.001406336648199763
2.7,0.009740740641255168,0.01151346644434224,0.006138231123441277,0.001777074788057059,0.002283544063673888,0.001434077643780569
2.8,0.01032286190763649,0.01201122151759551,0.006140681100709031,0.001947695103510831,0.002437724164879273,0.001465940956449067
2.9,0.00998731799691391,0.01168259220776591,0.006061059306875474,0.002030079055299859,0.002521444112463357,0.001495479669372572
3,0.01007176848319246,0.01180760956445921,0.006162720442115094,0.001990462728756542,0.002497463335085574,0.001508436685952081
3.1,0.009797191501067013,0.01151148014829196,0.006043940262438639,0.001858108183259397,0.00233546992107854,0.001414868803658513
3.2,0.01039963507698077,0.01205854240135771,0.006103772203396965,0.002018824417077313,0.00251526978586956,0.001500309990874855
3.3,0.01007312330382803,0.01181039723564757,0.006165847043971486,0.001625362264817238,0.002179406105842953,0.001451898234138081
3.4,0.01001531762338073,0.01171423210060519,0.006075907060648697,0.001774373674883643,0.002304814612428125,0.001470975342941213
3.5,0.00985228754024357,0.01162063003872657,0.006162099700694488,0.001913481003314324,0.002397182899733543,0.001443979329744347
3.6,0.00993583481276533,0.01170677426309494,0.006190940980213839,0.00162806337799063,0.002180630517196932,0.001450709857199444
3.7,0.01046692450187659,0.01211382877271603,0.006098224250278728,0.001409273210944365,0.002025729486101461,0.001455173174496914
3.8,0.01018828305784464,0.01194428381727047,0.00623416427765041,0.001659576365013715,0.002161069881016309,0.001384207108536441
3.9,0.009799449535459474,0.0115454173564081,0.006104707260435822,0.00192968768235473,0.002421745161782564,0.001463268627827297
4,0.009646354803649431,0.01140528298473944,0.00608508988956465,0.001972905493129358,0.002452214246719813,0.001456364867399057
4.1,0.009834223265103706,0.01162776189998084,0.006204264628038238,0.001482653452155347,0.002027649237962369,0.001383148644586325
4.2,0.01022621803563825,0.01192450239373834,0.006133369549101333,0.00197875790500504,0.00245705037962038,0.001456576026636156
4.3,0.009939899274671739,0.01173857260555147,0.006244396626189465,0.001785178127577295,0.00226809524094621,0.001399069360261188
4.4,0.01001080155459571,0.01169248361996996,0.006041359568653627,0.001810838702724644,0.002315382556128998,0.001442865057425422
4.5,0.01011602595728524,0.01183657842547923,0.006145779662015175,0.001940041949519491,0.002457470947428747,0.001508443135010145
4.6,0.0100907359720894,0.01176350009086003,0.006046237005711125,0.002224109018256663,0.002742127654353433,0.001603933648152976
4.7,0.01001712405089465,0.01168852245604689,0.006023187109370615,0.002237614584123715,0.002726363803737644,0.001557607319976928
4.8,0.01010428417844446,0.01181890761097408,0.006131069919513618,0.002071946309487784,0.002539761468232608,0.00146881816645817
4.9,0.01008667151018298,0.01181704915496314,0.006156436353643944,0.002094905771461796,0.002609193751631015,0.001555397647627463
5,0.009666225506303191,0.01143488197253885,0.006109059681094312,0.001829296309409652,0.002299061969844701,0.001392609404522667
5.1,0.01009976810965932,0.01183962094511755,0.006178293312490073,0.001978307719476202,0.002451683030758629,0.001448118866105001
5.2,0.01045969879182079,0.01218948313516188,0.006259249179156427,0.002079599463479134,0.002568937657519177,0.001508213101559525
5.3,0.01017744449276054,0.01187953648155011,0.006127235152435725,0.002117865233435765,0.002615336902635477,0.001534481660786152
5.4,0.009668031933817253,0.01143078110724444,0.006098517463155629,0.002571202061040092,0.003084939963462833,0.001704633256589991
5.5,0.00962512928036007,0.01140484032051943,0.006117783019434917,0.002266426457973479,0.002755327913790088,0.00156688960144187
5.6,0.009517195236399505,0.01129738613889657,0.006087193803681038,0.002236714213065916,0.002733740974806454,0.001571766282372456
